"Poboación vinculada segundo o municipio"
"Número de persoas"

"Tempo=2011"

;;"Poboación residente: Total";
32065;Punxín;799
32066;Quintela de Leirado;717
32067;Rairiz de Veiga;1591
32068;Ramirás;1814
32069;Ribadavia;5318
32071;Riós;1800
32072;Rúa, A;4665
32073;Rubiá;1557
32074;San Amaro;1235
32075;San Cibrao das Viñas;4689
32076;San Cristovo de Cea;2554
32070;San Xoán de Río;692
32077;Sandiás;1344
32078;Sarreaus;1408
32079;Taboadela;1638
32080;Teixeira, A;424
32081;Toén;2558
32082;Trasmiras;1528
32083;Veiga, A;1035
32084;Verea;1159
32085;Verín;14466
32086;Viana do Bolo;3189
32087;Vilamarín;2125
32088;Vilamartín de Valdeorras;1972
32089;Vilar de Barrio;1572
32090;Vilar de Santos;921
32091;Vilardevós;2118
32092;Vilariño de Conso;638
32032;Xinzo de Limia;10311
32036;Xunqueira de Ambía;1657
32037;Xunqueira de Espadanedo;891
36020;Agolada;2773
36001;Arbo;3130
36003;Baiona;11940
36002;Barro;3713
36004;Bueu;12339
36005;Caldas de Reis;10013
36006;Cambados;14038
36007;Campo Lameiro;2017
36008;Cangas;26332
36009;Cañiza, A;5471
36010;Catoira;3499
36011;Cerdedo;1850
36902;Cerdedo-Cotobade;-
36012;Cotobade;4395
36013;Covelo;2880
36014;Crecente;2345
36015;Cuntis;4998
36016;Dozón;1271
36017;Estrada, A;21626
36018;Forcarei;3934
36019;Fornelos de Montes;1900
36021;Gondomar;14086
36022;Grove, O;11265
36023;Guarda, A;10419
36901;Illa de Arousa, A;4975
36024;Lalín;20326
36025;Lama, A;2891
36026;Marín;25357
36027;Meaño;5451
36028;Meis;4939
36029;Moaña;19277
36030;Mondariz;4847
36031;Mondariz-Balneario;678
36032;Moraña;4410
36033;Mos;15194
36034;Neves, As;4280
36035;Nigrán;17870
36036;Oia;3100
36037;Pazos de Borbén;3148
36041;Poio;16642
36043;Ponte Caldelas;5738
36042;Ponteareas;23295
36044;Pontecesures;3132
36038;Pontevedra;82346
36039;Porriño, O;18033
36040;Portas;3073
36045;Redondela;29947
36046;Ribadumia;5147
36047;Rodeiro;2920
36048;Rosal, O;6519
36049;Salceda de Caselas;8810
36050;Salvaterra de Miño;9542
36051;Sanxenxo;17560
36052;Silleda;9108
36053;Soutomaior;7274
36054;Tomiño;13645
36055;Tui;17295
36056;Valga;6051
36057;Vigo;295623
36059;Vila de Cruces;6073
36058;Vilaboa;6033
36060;Vilagarcía de Arousa;37493
36061;Vilanova de Arousa;10600

"INE.Población vinculada. Censo de población y viviendas 2011"
"Nota: a poboación vinculada dun municipio defínese como o conxunto de persoas que teñen algún tipo de vinculación con el, xa sexa porque residen alí, porque traballan ou estudan nel ou porque soen pasar nese concello certos períodos de tempo (vacacións, fins de semana…) durante o ano.<br>Dentro da poboación vinculada distínguese entre poboación vinculada residente e non residente.<br>A taxa de vinculación dun municipio é a porcentaxe de poboación vinculada dun municipio con respecto á poboación residente do devandito municipio. Por definición, esta porcentaxe é sempre igual o superior a 100%."
(-) Non procede

I.G.E. - Instituto Galego de Estatística
